A1;Codigouf;Codigomunicipio;Nome;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49;A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60
2905909;29;5909;CAMPO ALEGRE DE LOURDES;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2015;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2009;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-
2906006;29;6006;CAMPO FORMOSO;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2004;Não foi atualizado;-;Sim, com legislação específica;2009;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2014;Sim, com legislação específica;1998;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1998;Não;-;Não;-;Não;-;Sim, com legislação específica;1998;Sim, com legislação específica;2004;Não;-;Não;-;Sim, com legislação específica;2004;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, com legislação específica;2004
2906105;29;6105;CANAPOLIS;Não possui estrutura;-;Não;-;-;Não;Não;-;Sim, com legislação específica;2010;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2010;Não;-;Não;-;Sim, com legislação específica;2010;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2906204;29;6204;CANARANA;Setor subordinado a outra secretaria;Ensino médio completo;Não;-;-;Não;Sim, com legislação específica;2005;Sim, com legislação específica;2013;Sim, com legislação específica;2013;Não;-;Sim, com legislação específica;2014;Não;-;Sim, com legislação específica;2014;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2906303;29;6303;CANAVIEIRAS;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2006;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1998;Sim, com legislação específica;1989;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Sim, com legislação específica;1981;Sim, com legislação específica;2004;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1997;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-
2906402;29;6402;CANDEAL;Não possui estrutura;-;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2014;Sim, com legislação específica;2010;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2906501;29;6501;CANDEIAS;Secretaria municipal exclusiva;Ensino superior completo;Sim;2015;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2009;Sim, com legislação específica;2009;Sim, com legislação específica;2014
2906600;29;6600;CANDIBA;Setor subordinado a outra secretaria;Ensino médio incompleto;Não;-;-;Não;Sim, com legislação específica;2013;Não;-;Sim, com legislação específica;2013;Sim, com legislação específica;2013;Sim, com legislação específica;2013;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2013
2906709;29;6709;CANDIDO SALES;Setor subordinado a outra secretaria;Ensino médio completo;Sim;2008;Não foi atualizado;-;Sim, com legislação específica;2010;Sim, com legislação específica;2007;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1993;Sim, com legislação específica;1993;Sim, com legislação específica;1993;Sim, com legislação específica;2010;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2007;Sim, com legislação específica;1993;Sim, com legislação específica;2007;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2007;Sim, com legislação específica;2007;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1993;Sim, com legislação específica;2005;Sim, com legislação específica;2010;Sim, com legislação específica;2007
2906808;29;6808;CANSANCAO;Setor subordinado a outra secretaria;Ensino médio completo;Sim;2005;2006;-;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Sim, com legislação específica;2007;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2906824;29;6824;CANUDOS;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2014;Não foi atualizado;-;Não;-;Não;-;Sim, com legislação específica;1998;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1998;Sim, com legislação específica;1998;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2906857;29;6857;CAPELA DO ALTO ALEGRE;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1989;Sim, com legislação específica;2005;Sim, com legislação específica;1989;Não;-;Sim, com legislação específica;2002;Não;-;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2906873;29;6873;CAPIM GROSSO;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2007;2007;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1997;Sim, com legislação específica;2011;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2011;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2011;Sim, com legislação específica;Não soube informar*;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2011
2906899;29;6899;CARAIBAS;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1999;Não;-;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2906907;29;6907;CARAVELAS;Setor subordinado a outra secretaria;Ensino médio completo;Sim;2006;Não foi atualizado;-;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2015;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Não;-;Não;-;Sim, com legislação específica;2002;Sim, com legislação específica;1999;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2006
2907004;29;7004;CARDEAL DA SILVA;Não possui estrutura;-;Não;-;-;Não;Sim, com legislação específica;2008;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Sim, com legislação específica;2009;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2009;Sim, com legislação específica;2005;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Sim, com legislação específica;2005;Não;-;Sim, com legislação específica;2008;Não;-
2907103;29;7103;CARINHANHA;Secretaria municipal exclusiva;Ensino médio incompleto;Sim;2011;2011;-;Sim, com legislação específica;2011;Sim, com legislação específica;2011;Sim, com legislação específica;2011;Sim, com legislação específica;1987;Sim, com legislação específica;1987;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2011;Sim, com legislação específica;2011;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2907202;29;7202;CASA NOVA;Setor subordinado a outra secretaria;Ensino superior incompleto;Sim;2002;Não foi atualizado;-;Sim, com legislação específica;2012;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2013;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2012;Não;-;Sim, como parte integrante do Plano Diretor;-
2907301;29;7301;CASTRO ALVES;Não possui estrutura;-;Sim;2004;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2002;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2002;Sim, com legislação específica;2010;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2010
2907400;29;7400;CATOLANDIA;Setor subordinado diretamente ao chefe do Executivo;Ensino médio completo;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1997;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2907509;29;7509;CATU;Não possui estrutura;-;Sim;2008;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1975;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-
2907558;29;7558;CATURAMA;Setor subordinado a outra secretaria;Ensino superior incompleto;Não;-;-;Não;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2001;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014
2907608;29;7608;CENTRAL;Setor subordinado a outra secretaria;Ensino médio completo;Não;-;-;Não;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2002;Não;-;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2009
2907707;29;7707;CHORROCHO;Setor subordinado a outra secretaria;Ensino superior incompleto;Não;-;-;Não;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2907806;29;7806;CICERO DANTAS;Secretaria municipal em conjunto com outras políticas;Ensino médio completo;Sim;2009;Não foi atualizado;-;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2001;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2013
2907905;29;7905;CIPO;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Não;-;Sim, com legislação específica;Não soube informar*;Sim, com legislação específica;Não soube informar*;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;Não soube informar*;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2908002;29;8002;COARACI;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2008;Não foi atualizado;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2908101;29;8101;COCOS;Setor subordinado a outra secretaria;Ensino médio completo;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2013
2908200;29;8200;CONCEICAO DA FEIRA;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Sim;2009;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2005;Sim, com legislação específica;2005;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2009;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2005;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2008
2908309;29;8309;CONCEICAO DO ALMEIDA;Não possui estrutura;-;Não;-;-;Sim;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2908408;29;8408;CONCEICAO DO COITE;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2005;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2009;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2005;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-
2908507;29;8507;CONCEICAO DO JACUIPE;Não possui estrutura;-;Sim;1984;Não foi atualizado;-;Não;-;Não;-;Sim, com legislação específica;2011;Não;-;Não;-;Não;-;Sim, com legislação específica;2006;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2908606;29;8606;CONDE;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2004;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1993;Sim, com legislação específica;1993;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2004;Sim, com legislação específica;2004;Sim, com legislação específica;2001;Sim, com legislação específica;2014;Não;-;Não;-;Sim, com legislação específica;2014;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2014
2908705;29;8705;CONDEUBA;Setor subordinado a outra secretaria;Ensino superior incompleto;Não;-;-;Sim;Não;-;Não;-;Não;-;Sim, com legislação específica;1984;Sim, com legislação específica;1984;Não;-;Sim, com legislação específica;2004;Não;-;Não;-;Sim, com legislação específica;1984;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Não;-;Não;-;Não;-
2908804;29;8804;CONTENDAS DO SINCORA;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Não;-;Sim, com legislação específica;2005;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2908903;29;8903;CORACAO DE MARIA;Setor subordinado a outra secretaria;Ensino médio completo;Sim;2006;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2006;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-
2909000;29;9000;CORDEIROS;Não possui estrutura;-;Não;-;-;Não;Sim, com legislação específica;2010;Não;-;Sim, com legislação específica;2015;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2909109;29;9109;CORIBE;Secretaria municipal em conjunto com outras políticas;Ensino superior incompleto;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1965;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2012;Não;-;Não;-;Sim, com legislação específica;2006;Não;-;Não;-;Sim, com legislação específica;2006;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1995;Sim, com legislação específica;2006
2909208;29;9208;CORONEL JOAO SA;Setor subordinado a outra secretaria;Ensino médio completo;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1994;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2909307;29;9307;CORRENTINA;Setor subordinado a outra secretaria;Ensino médio completo;Sim;2008;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2000;Sim, com legislação específica;1972;Não;-;Sim, com legislação específica;1955;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Não;-;Sim, com legislação específica;1955;Sim, com legislação específica;1984;Sim, com legislação específica;1998;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, com legislação específica;1984;Sim, com legislação específica;2003;Não;-;Sim, com legislação específica;1972;Sim, com legislação específica;2012;Sim, com legislação específica;1955;Sim, com legislação específica;2003
2909406;29;9406;COTEGIPE;Não possui estrutura;-;Não;-;-;Não;Sim, com legislação específica;2005;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Não;-;Sim, com legislação específica;2013;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014
2909505;29;9505;CRAVOLANDIA;Setor subordinado a outra secretaria;Ensino médio completo;Não;-;-;Não;Não;-;Não;-;Sim, com legislação específica;1999;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2015;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2909604;29;9604;CRISOPOLIS;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2012;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2015;Sim, com legislação específica;2015;Não;-
2909703;29;9703;CRISTOPOLIS;Secretaria municipal em conjunto com outras políticas;Ensino médio completo;Não;-;-;Não;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1998;Não;-;Não;-;Sim, com legislação específica;2013;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2909802;29;9802;CRUZ DAS ALMAS;Secretaria municipal em conjunto com outras políticas;Mestrado ou doutorado;Sim;2008;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2008;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2008;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2008
2909901;29;9901;CURACA;Setor subordinado a outra secretaria;Ensino médio completo;Sim;2006;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2010
2910008;29;10008;DARIO MEIRA;Secretaria municipal em conjunto com outras políticas;Ensino médio completo;Não;-;-;Sim;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2910057;29;10057;DIAS D'AVILA;Secretaria municipal exclusiva;Pós-graduação;Sim;2009;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1992;Sim, com legislação específica;1992;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1992;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014
2910107;29;10107;DOM BASILIO;Setor subordinado a outra secretaria;Ensino médio completo;Sim;2015;Não foi atualizado;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1994;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1994;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2910206;29;10206;DOM MACEDO COSTA;Setor subordinado a outra secretaria;Ensino médio incompleto;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2002;Sim, com legislação específica;2007;Sim, com legislação específica;2007;Sim, com legislação específica;2007;Sim, com legislação específica;2003;Sim, com legislação específica;2003;Não;-;Sim, com legislação específica;2007;Não;-;Sim, com legislação específica;2012;Sim, com legislação específica;2007;Não;-;Sim, com legislação específica;2007;Não;-;Não;-;Não;-;Não;-;Não;-
2910305;29;10305;ELISIO MEDRADO;Não possui estrutura;-;Não;-;-;Não;Não;-;Não;-;Não;-;Sim, com legislação específica;2001;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2001;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2910404;29;10404;ENCRUZILHADA;Setor subordinado a outra secretaria;Ensino fundamental incompleto;Não;-;-;Não;Não;-;Não;-;Não;-;Sim, com legislação específica;1983;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1983;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
2910503;29;10503;ENTRE RIOS;Não possui estrutura;-;Sim;2012;2013;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2014
2910602;29;10602;ESPLANADA;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2008;Não foi atualizado;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-
2910701;29;10701;EUCLIDES DA CUNHA;Setor subordinado a outra secretaria;Ensino superior completo;Sim;1987;2007;-;Sim, com legislação específica;1987;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2010;Sim, com legislação específica;2009;Sim, com legislação específica;1987;Sim, com legislação específica;2014;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1989;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, com legislação específica;2009;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2011;Não;-;Sim, com legislação específica;2014;Sim, com legislação específica;2015;Sim, com legislação específica;2014
